2.18E-03	2.15E-03	2.11E-03	2.05E-03	1.98E-03	6.09E-03	5.99E-03	5.85E-03	5.68E-03	5.49E-03	1.79E-03	1.68E-03	1.55E-03	1.42E-03	1.29E-03	5.09E-03	4.82E-03	4.51E-03	4.20E-03	3.91E-03
-2.19E-03	-1.72E-03	-1.20E-03	-6.35E-04	-5.65E-05	-5.49E-03	-4.26E-03	-2.83E-03	-1.33E-03	1.12E-04	1.02E-03	1.47E-03	1.85E-03	2.15E-03	2.40E-03	2.51E-03	3.76E-03	5.00E-03	6.10E-03	7.00E-03
-1.42E-03	7.92E-06	1.47E-03	2.70E-03	3.50E-03	-3.05E-03	-7.66E-04	1.57E-03	3.59E-03	4.96E-03	3.47E-03	2.69E-03	1.51E-03	1.06E-04	-1.28E-03	4.71E-03	3.08E-03	7.99E-04	-1.75E-03	-4.20E-03
-4.81E-03	-5.71E-03	-6.26E-03	-6.19E-03	-5.66E-03	2.67E-03	3.36E-03	3.94E-03	4.25E-03	4.25E-03	-5.21E-03	-4.94E-03	-4.19E-03	-3.05E-03	-1.89E-03	3.79E-03	3.19E-03	2.32E-03	1.30E-03	3.18E-04
6.30E-03	5.35E-03	3.30E-03	6.13E-04	-1.85E-03	-5.17E-03	-3.62E-03	-1.63E-03	4.50E-04	2.20E-03	-4.01E-03	-4.87E-03	-5.03E-03	-4.31E-03	-3.13E-03	3.64E-03	3.75E-03	3.35E-03	2.52E-03	1.50E-03
-1.57E-03	6.64E-04	2.89E-03	4.15E-03	4.09E-03	1.91E-03	8.25E-04	-5.10E-04	-1.75E-03	-2.60E-03	5.97E-04	-3.51E-03	-6.98E-03	-8.29E-03	-7.34E-03	-2.43E-03	-8.36E-04	1.34E-03	3.53E-03	5.31E-03
-1.57E-03	-5.43E-03	-7.33E-03	-6.20E-03	-2.77E-03	-7.21E-04	-3.98E-03	-5.86E-03	-5.75E-03	-3.75E-03	3.81E-03	6.00E-03	5.80E-03	3.11E-03	-8.20E-04	2.68E-03	5.26E-03	6.15E-03	5.07E-03	2.44E-03
-1.94E-03	-7.83E-03	-9.68E-03	-6.05E-03	2.69E-04	-2.20E-03	-2.21E-03	-1.15E-03	3.85E-04	1.52E-03	1.28E-03	-3.71E-03	-7.06E-03	-6.33E-03	-2.16E-03	-3.68E-04	-3.01E-03	-4.70E-03	-4.41E-03	-2.15E-03
2.64E-03	2.64E-03	2.64E-03	2.63E-03	2.63E-03	4.53E-03	4.53E-03	4.53E-03	4.53E-03	4.53E-03	2.62E-03	2.61E-03	2.61E-03	2.60E-03	2.58E-03	4.53E-03	4.53E-03	4.53E-03	4.53E-03	4.53E-03
4.24E-03	4.24E-03	4.23E-03	4.22E-03	4.19E-03	-3.58E-03	-3.59E-03	-3.59E-03	-3.58E-03	-3.58E-03	4.15E-03	4.13E-03	4.10E-03	4.06E-03	4.02E-03	-3.57E-03	-3.57E-03	-3.57E-03	-3.56E-03	-3.54E-03
